week,stage,pillar,format,topic,audience,cta,channel,owner,status
1,foundation,trust,carousel,"How Kridiya handles an enquiry from message to confirmation","All travellers","Send your travel dates","Instagram; Facebook",Marketing,Draft
1,foundation,plan smarter,reel,"Four details that help us quote faster","All travellers","Message route dates travellers and preferences","Instagram; Facebook; WhatsApp Status",Marketing,Draft
1,foundation,corporate,text post,"What a company travel request should include","SME travel buyers","Request a corporate travel review","LinkedIn",Owner,Draft
2,foundation,visa education,carousel,"Visa assistance versus visa approval: what an agency can and cannot promise","Visa customers","Request a document checklist","Instagram; Facebook; Website",Operations,Draft
2,foundation,destination,reel,"Three ways to choose a family holiday destination","Families","Request Value Comfort Premium options","Instagram; Facebook",Marketing,Draft
2,foundation,proof,photo,"Meet your Kridiya travel advisor","All travellers","Start a conversation","Instagram; Facebook; Google Business Profile",Owner,Draft
3,launch,flights,carousel,"Baggage connection and change conditions to compare before choosing a fare","UAE residents travelling home","Request a flight quote","Instagram; Facebook; Website",Sales,Draft
3,launch,brand,reel,"One message. A whole journey.","All travellers","Get a personalised quote","Instagram; Facebook",Marketing,Draft
3,launch,corporate,document post,"Five controls that make company travel easier","SME travel buyers","Book a 20-minute review","LinkedIn; Email",Owner,Draft
4,launch,holiday,carousel,"Value Comfort Premium: three ways to plan the same holiday","Families and couples","Send your budget and dates","Instagram; Facebook",Marketing,Draft
4,launch,FAQ,reel,"Why travel prices can change before confirmation","All travellers","Ask us to check availability","Instagram; Facebook; Website",Operations,Draft
4,launch,review,photo,"Customer review request and approved proof","Past customers","Read reviews or message us","Google Business Profile; Instagram",Owner,Draft
5,optimize,hotels,carousel,"How we shortlist hotels beyond star rating","Holiday and hotel customers","Request three hotel options","Instagram; Facebook",Marketing,Draft
5,optimize,visa,short video,"What makes a passport copy usable for document review","Visa customers","Ask for the checklist","Instagram; WhatsApp Status",Operations,Draft
5,optimize,corporate,email,"Corporate travel response approvals and billing workflow","SME travel buyers","Request an account assessment","Email; LinkedIn",Owner,Draft
6,optimize,Umrah,carousel,"What to compare in an Umrah package","Umrah travellers","Request package options","Instagram; Facebook; WhatsApp Status",Operations,Draft
6,optimize,trust,reel,"Behind the scenes: checking an itinerary","All travellers","Send your route","Instagram; Facebook",Sales,Draft
6,optimize,FAQ,story poll,"What is hardest about planning your next trip?","All travellers","Reply to the poll","Instagram Stories",Marketing,Draft
7,optimize,cruise,carousel,"Cruise cabin itinerary visa and transfer checklist","Cruise customers","Request a cruise-planning call","Instagram; Facebook; Website",Marketing,Draft
7,optimize,flight,reel,"Direct flight or smart connection: what to compare","Flight customers","Request suitable options","Instagram; Facebook",Sales,Draft
7,optimize,proof,photo,"Approved booking handover moment","All travellers","Plan your journey","Instagram; Google Business Profile",Owner,Draft
8,retention,holiday,guide,"Destination planning guide based on budget travel time and visa needs","Families and couples","Request tailored options","Website; Email; Social",Marketing,Draft
8,retention,repeat,email,"Where are you travelling next?","Past customers","Reply with destination and dates","Email; WhatsApp opt-in list",Sales,Draft
8,retention,corporate,case brief,"How a controlled request-to-invoice workflow reduces company travel friction","SME travel buyers","Request a corporate review","LinkedIn; Email",Owner,Draft
9,retention,referral,carousel,"How the Kridiya referral process works","Past customers","Refer a traveller","Instagram; Email; WhatsApp opt-in list",Marketing,Draft
9,retention,visa,reel,"Three document mistakes that delay assessment","Visa customers","Request the correct checklist","Instagram; Facebook",Operations,Draft
9,retention,team,photo,"The people behind Kridiya support","All travellers","Message the team","Instagram; Facebook",Owner,Draft
10,scale,offer,carousel,"A real seasonal offer with inclusions exclusions and validity","Selected campaign audience","Request availability","Instagram; Facebook; Email",Marketing,Draft
10,scale,planning,reel,"When to start planning peak-season travel","Families and flight customers","Send dates early","Instagram; Facebook; WhatsApp Status",Sales,Draft
10,scale,corporate,text post,"Preparing company travel plans before peak periods","SME travel buyers","Schedule an account review","LinkedIn",Owner,Draft
11,scale,FAQ,carousel,"Answers to the five questions customers ask before payment","All travellers","Ask your booking question","Instagram; Facebook; Website",Finance,Draft
11,scale,proof,reel,"From enquiry to confirmed booking reference","All travellers","Start your enquiry","Instagram; Facebook",Marketing,Draft
11,scale,community,photo,"Approved local partner or community collaboration","Local audience","Discover the joint offer","Instagram; LinkedIn",Owner,Draft
12,review,education,carousel,"The Kridiya travel checklist: route documents payment confirmation","All travellers","Save and share","Instagram; Facebook",Marketing,Draft
12,review,brand,reel,"Your Journey Our Passion: 90-day campaign recap","All travellers","Plan your next journey","Instagram; Facebook",Owner,Draft
12,review,research,survey,"What should Kridiya help you plan next?","Customers and prospects","Complete the short survey","Email; Social",Marketing,Draft
